GDP (constant 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Ecuador,3641530019,3697721716,3866296550,4016140989,4329877471,4467234895,4463233149,4775389321,4886444434,5152577965,5544774181,5902953506,6174088707,7171587948,7770887842,8418211763,9061533937,9271638924,9902954836,10419212864,10882444171,11248627501,11184595465,10901454002,11319663104,11649828670,12124065290,11863935403,12856431950,12982495147,13330669595,14023015720,14235121581,14277142988,14948478409,15210610194,15575792575,16207108486,16549527223,15506997581,15941641913,16792401245,17650754679,18228555753,19837038478,20976428515,21973124162,22420870170,24044518482,24131528013,24995823420,26195622944
Egypt,12008501551,12536920098,13396534340,14609661874,15799225320,17256717130,17439059545,17548216715,18025776785,19253791889,20331718433,21031314991,21458018624,21609350618,22146450778,24126160272,27655153482,31205234103,33008806121,35002160772,38506344422,39952673866,43910853499,47160756999,50033561717,53336802407,54748401321,56127744343,59102918306,62041739160,65579206064,66286699445,69224523386,71232581991,74062775121,77501108925,81367430436,85835423038,89300055775,94752235333,99838540997,103368058729,105818387282,109197716207,113666164952,118749025400,126876016555,135868769654,145591924088,152414550277,160258746162,163143403593
El Salvador,4017741905,4159510750,4656688842,4857179945,5310184301,5595259457,5995943686,6321933985,6526555576,6754033315,6955120790,7223467391,7665365435,8038030512,8466939737,8714473588,9154489903,9775170071,10295479447,9865101119,8703848680,7794215003,7302727945,7414825706,7513958617,7560289381,7574608193,7765002616,7910787275,7986904251,8372810075,8672159451,9326459854,10013804572,10619662926,11298815408,11491596865,11979528543,12428695150,12857344602,13134147768,13358642293,13671259607,13985703810,14244514235,14752019854,15329111295,15917713172,16120541019,15615477008,15828594488,16061419231
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,194293740.8,189765615.7,198185017.8,203447349.5,200946619.4,207499790.5,205141003.7,227081762,241379315.6,253727370.2,289915456.2,374402170.2,640931532.3,781365388.1,1105213630,1254223037,2030554290,2425757701,2764278260,3814668806,4186550477,4239290429,5148299307,5697997258,6024744206,5979285835,6403432391
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429588978.5,487389152.3,590820007.4,607707881.3,663974581.1,716486235.6,729186545.9,729284845.5,633600000,768210748.9,791298774.8,770285714.3,781506493.5,801558441.6,793870129.9,805194805.2,726337662.3,754493506.5,771116883.1,838337662.3
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104911009,4346685997,4856828570,5187563539,5173492088,5675174662,6031668953,6427372284,6926482597,7365818095,8017950552,8827550545,9488928631,9140619358,7837361481,8014762097,8626739894
Ethiopia,,,,,,,,,,,,,,,,,,,,,,5147105049,5194255336,5622006404,5461892870,4853203035,5322089427,6059709673,6090215653,6068236779,6233682738,5788766563,5286719782,5981544745,6172368103,6550580457,7364550133,7595359798,7332697407,7711240982,8179533779,8858552229,8992734183,8798393780,9992543572,11173546750,12384159131,13802890302,15292022591,16638100822,18291486355,19626589434
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062339944,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,437079701,452454345,468770309.7,498578347.6,522895396.2,508775824.3,508775824.3,576706713.3,622360093,638519147.9,719628345.3,769203456.9,826780467.1,922793396.9,946796652.3,951816653.4,977859900.1,1035592859,1054890128,1183848553,1164866035,1238601962,1164552296,1118434637,1212305127,1156375707,1245993741,1163571019,1174691917,1262072929,1335273159,1299220783,1378473251,1407835172,1479634766,1516625635,1589423666,1554456345,1574664278,1713234734,1684109743,1717791938,1772761280,1790488893,1885384805,1898582498,1933591137,1917139709,1936934580,1912289652,1908465073,1946634374
Finland,32363088296,34824194518,35862633032,37040756259,38981205393,41048323285,42022327347,42933719720,43922607785,48136229953,50703772073,51898819538,55913445265,59818344059,61754384904,62868988391,63085498434,63236594804,65082918740,69718076285,73475216510,74420490142,76689699650,79008660402,81463976414,84154228856,86377372397,89391929243,94059332965,98835452368,99334807444,93374792703,90120692832,89390086604,92656163626,96327621153,99765984890,105957250783,111288004422,115637552976,121793808734,124575271789,126860143726,129413119587,134751243781,138680670720,144797309748,152522572324,152970333518,140190713101,145421964253,149573429151
France,349778187326,369037927246,393660782189,414710508267,441742742172,462849365785,486982368985,509812875872,531525932127,568682414708,601287903229,633340148632,662077162387,705840360681,738949898008,730641519752,762687037773,789935209765,820703033189,849011684286,862905694751,871351830990,892413505746,903407336383,916909603122,931672923882,952690141655,975443949951,1020973645763,1063728514428,1091598599817,1102943385636,1119243188168,1111773755003,1136759530932,1160031311021,1172414702760,1198016965930,1238488425751,1279258855128,1326334899576,1350682881887,1363229017959,1375491323088,1410493938384,1436256423650,1471687515757,1505321677069,1504107370104,1456772338299,1480999829195,1506143156817
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,805624423.6,882775676.8,840939466.6,966498474.5,940538895.6,955838748.5,1070562421,1020298673,1099908100,1297903095,1234270769,1335525607,1363291087,1498155466,1556971914,1564521691,1697580026,1866856569,1967784808,2074157078,2186297273,2369946312,2538212604,2599129674,2677103616,2735999899,2870063790,2895894295,2898790282,2921980671,2936590396,2945400177,3001362902,3187447275,3314945314,3447543138,,,,,,,,,,,
Gabon,887289809,1018309175,1094165180,1160826485,1213695790,1314837134,1374110052,1430656781,1466549111,1585088962,1722664256,1899387747,2114720779,2330050819,3250120203,3873822005,5253884186,4592835688,3488295169,3504843825,3594320286,3777462740,3660455061,3865742191,4156016995,4059059225,4026440716,3336065492,3764594888,4086291192,4298461126,4561204712,4420256843,4594704711,4765294832,5002313343,5183649654,5481106515,5671730279,5165096006,5067838984,5175869092,5162041537,5289811986,5361013681,5523001848,5588238866,5898573546,6035623996,5950756011,6343809583,6649166796
Gambia,,,,,,,207683716,207683716,227571802.8,233114371,247459869.1,247296850,247894580,270825642.5,286746924.2,322284702.7,345976575.5,357876705.6,380481791,375428300.5,398967950.1,412221242.7,409069472,453589434.3,469624990.3,465810388,484867022.3,496767274.6,519006682.3,549605876.1,569165684,586849886,606677719,624951462.4,625916051.5,631435683.4,645475940.8,677104255.1,700802893.6,745654278.8,786665264.2,832291849.5,805242361.2,860562511.4,921232168.5,923671344.6,954571694.3,1011867197,1075628982,1147182107,1217357172,1277885816
Georgia,,,,,,3371856942,3625947639,3852569346,4024252757,4216537591,4724719621,4841464417,4978810636,5301575079,5768553308,6194327097,6572030155,7025273570,7547190094,8103444129,8474279303,8920655471,9099205811,9490643363,10005693277,10500140176,9641724714,9765335802,10307854705,9566183720,8151514860,6431545205,3543781426,2505453416,2244886381,2303253365,2561217795,2830633310,2918521769,3002261650,3057453461,3204377911,3379780412,3753519944,3973376002,4354805817,4763429293,5351427005,5475261546,5268528047,5597970558,5987225425
Germany,,,,,,,,,,,929852280013,958981760098,1000221248758,1048006687998,1057334667576,1048170336763,1100046995116,1136867967134,1171070558919,1219674241982,1236857362256,1243403312837,1238493849902,1257968052880,1293479834781,1323591207453,1353866228890,1372849485574,1423744251340,1479221182513,1556954345661,1636487645219,1667775438935,1651062704403,1691872870119,1720245651998,1733849040570,1763970829551,1796813296247,1830433099432,1886401326700,1914968442701,1915162776824,1907972414293,1930126504253,1943341224580,2015244849889,2081124117403,2103666875608,1995811437644,2069464070055,2131456655119
Ghana,1902005320,1965121691,2045871634,2136012214,2183203739,2213091747,2118851899,2184014293,2192070266,2323729823,2549677064,2682671393,2615935781,2691394629,2875822907,2518311292,2429410284,2484657691,2695255677,2627471578,2639865251,2547388990,2371016685,2262809702,2458487738,2583664542,2717993397,2848318428,3008626624,3161641538,3266886838,3439438121,3572868343,3746152457,3869775489,4028916869,4214346194,4391195243,4597598580,4799892758,4977488790,5176588342,5409534817,5690830628,6009517143,6364078886,6771379934,7208793173,7816530776,8128525458,8779397392,10042802345
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,28208389534,31353494474,31834306240,35061049112,37956509843,41521636084,44053976946,46468768012,49565497480,54472347989,58805784184,63416849797,69860097594,75513441226,70651704210,75149963026,80299161830,82660761559,88651073971,91560673331,92180659096,90748428632,89720568798,88752822669,90537269528,92809353506,93289790481,91182501476,95092281001,98705787677,98705787677,101765667097,102478026766,100838378338,102855145906,105014815743,107491487302,111401606432,115148803931,119086192482,124418164455,129640052497,134098566245,142068547965,148273579289,151654726496,160060884679,164856617856,164598016076,159247577305,153647288780,143034499787
Greenland,,,,,,,,,,,428840230,484850427.6,514800963,549838359.9,581213529.2,584969560,619829122.2,674512397.7,715095900.6,749853842.5,814911202.6,820332649.3,784076724.6,811183958,769167746.3,797291500.9,853877850.5,900976668.5,951463890.6,1014827049,895894062.2,894877541,849134084.7,806440192.2,854216690.9,886067690.1,899621306.8,912836083.1,983653730.2,997207346.9,1068024994,1081578611,1071074558,1067008473,1095471068,1117156854,1167082381,1231424330,1235683939,1168808893,,
Grenada,,,,,,,,,,,,,,,,,,181391474.6,191213323.2,202708833.3,201805408.6,203525381,213549930.3,219798608.9,230315399.6,248928265.9,269463805.5,299508469.6,309776248.6,328586015.2,345669990.4,353609713.3,352561518.2,343255075.8,352706288.6,361537835.4,376206895.9,393545720.3,419291120.4,461524207.5,519752999.7,499420151.6,510116469,553191297.9,517390196.5,579680174.8,568497398,604222784.9,614414707.2,579518270.6,572168317.4,578532803.6
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,3989089865,4160561630,4307699952,4718699494,4937316476,5152670837,5436691407,5660257704,6156437883,6448062749,6816110666,7196705549,7724443678,8248379902,8774216592,8945313004,9606127040,10356290699,10873762420,11386292444,11814414541,11890837106,11471079977,11176033300,11231544416,11163106241,11179075019,11575259560,12025813478,12499941930,12887760529,13359226869,14005591526,14555609587,15142745251,15892091190,16362144271,17076202966,17928907904,18618644149,19290566570,19740527581,20503822394,21022740913,21685384121,22392362924,23597025901,25084585160,25907634307,26043918245,26801786950,27838549513
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,1752616479,1810451751,1924657161,2001710348,2088265560,2142840773,2212931965,2324555452,2416842607,2528202816,2660235794,2783956471,2918504398,3054862706,3112362568,3202122564,3322809564,3502841592,3584767429,4938241628,5061531939,5150498469,5404776604,5389634968,5493989673,5691015850
Guinea-Bissau,,,,,,,,,,,104038537,99969623.67,106342548.1,107522836.4,112425061.7,121245464.7,127239180.1,118116041.8,133620004.7,136284580.5,114543576.3,135353312.8,141038263.1,136245377.5,148656272.8,154850025.8,153620752.6,158075754.4,165347239.1,175433420.7,186134859.4,195627737.2,197779642.3,201933014.8,208394871.3,217564245.6,242801698.1,258583808.5,185921810.7,200423711.9,215455490.3,215886401.3,200558466.8,199296368.4,203714836.2,210770185.2,215273017.1,222166391.5,229323638.9,236193584.8,244395462.7,257348422.2
Guyana,385886207,403982434.6,408446141,358294439.1,398997699.3,441056121.4,464137796.3,484158945.8,489120740,523331735.6,545601892.3,562585665.4,543920924.2,550691213.3,593110076,643423731.4,653312596.2,636073769.4,624585076.4,613119591.7,623750409.3,633082750.2,549578284.2,512248801.7,486489152.3,498163274.1,493676804.6,498116916.9,479718803.9,455999524.5,442145871.9,468606577.7,505305251.9,546810206.9,593416532.1,623006141.6,672120623.3,713973227.7,701774515.6,722616383.6,712667925.1,728702948.3,736361622,728959307.9,752970679.2,738235712.2,776104320.3,830589276.3,847007094.8,875116076.9,913366257.9,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734792700,3536477718,3344577988,2944879860,3236355467,3370238999,3461447155,3537035566,3632985431,3664503846,3626291254,3617086761,3630196190,3502448987,3565485817,3645815936,3767705735,3799503074,3908841292,3697137957,3903820659
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,1502038539,1529911259,1618108290,1676043632,1766828975,1926499597,2030026643,2151372356,2293323844,2308355180,2392072782,2487636175,2630981360,2838035708,2803194801,2862921961,3163548606,3492047989,3841451879,4020633361,4047510519,4150042145,4092306081,4054478752,4230673875,4407864388,4439719001,4707495771,4924504391,5137531200,5142508463,5309744577,5608380316,5957784205,5880138960,6119047603,6339042644,6655596595,6848714415,6719305567,7105541205,7299040640,7573072090,7917422408,8410861673,8919792791,9505547333,10093784782,10520914743,10296774094,10582329897,10942129113
"Hong Kong, China",,10490975371,12021980539,13425142977,14982653355,17469241673,18666560243,19031588145,19647855786,21999705847,24091796597,25876416574,28723554183,33720979270,34451734607,34634966188,40336855124,45033141351,48845400325,54530789735,60150325771,65754664876,67674978167,71712441202,78828223757,79357655926,88164639927,99988432056,108432137014,110841646786,115162785888,121720768667,129137305745,136941292226,145176003184,148505289182,154731978841,162555648967,152759417050,156663870746,169121013113,169962054757,173091030717,178294170813,193389645331,207085699498,221622650577,235782862471,241220758986,234803022180,251168960224,264136719511
Hungary,10486859064,,,,,18359925549,19718560040,21197452043,22236127193,23770419969,24887629708,26430662750,28042933178,29977895567,31746591405,33714880073,34928615755,37583190553,39236850937,40296245912,40376838404,41534339384,42714366741,43023177035,44166753595,44054981903,44731203330,46543367079,46512991415,46855524629,45217146353,39839904832,38619138295,38396650153,39528258777,40117042262,40181583041,41438134545,43126100243,44505141590,46385589534,48107516796,50275293599,52211105383,54715769280,56884939841,59101837692,59169627001,59698693168,55640003180,56340039480,57293181826
Iceland,1775037087,1773534306,1920980854,2118522670,2328606903,2500265500,2718687031,2684234147,2537274841,2597524666,2791210652,3155766144,3350708373,3578757910,3782972292,3807416159,4034314081,4390232454,4654380211,4880610196,5161143800,5381266949,5497209911,5378956036,5601059491,5785493496,6148275293,6673703195,6667715146,6684947179,6763118968,6748001672,6520331239,6605972495,6844372657,6852352080,7180241405,7533020281,8008865740,8336761572,8697298234,9038371651,9050931398,9271268441,9997746575,10720581749,11225410811,11897251672,12048292689,11228149348,10776345915,11105155830
India,81042654922,84059664307,86523560442,91710088309,98545195448,95947770642,95894683921,103399366432,106902463736,113893564473,119767317248,121735010893,121061449480,125051055134,126533330634,138111019057,140407948437,150594214556,159196957387,150857929902,161019450821,170690606911,176623357074,189497244409,196737437362,207074611006,216965662681,225569122810,247286428288,261993401183,276490686996,279412727485,294731239741,308733261390,329291574837,354233738304,380976693190,396405566741,420920935324,456543772248,474691627708,498161456345,517627284474,558747568021,602602553782,658553437817,719561619358,790088337362,820830424070,888452309192,973324950212,1040055442507
Indonesia,18448917543,19575208346,19949028314,19499569412,20172590380,20363640993,20944091970,21179712360,23728516741,25502789513,27581801389,29511800441,31838126471,34950673891,37836507705,40176101277,42581905063,46259476457,50517919166,54100964303,58821272859,63614142518,64316489536,69751173550,74753833727,77353427295,81967185137,86311448524,91797126913,100136633662,109150506063,118895240736,127480073500,136727574167,147036924428,159382671061,171563947985,179627234868,156048063636,157282606425,165021012262,171033497474,178729107603,187273018674,196694488177,207891462167,219327471266,233243848107,247270439238,258716276502,274744677420,292484884332
Iran,,,,,,24187876610,26709951060,29548432307,33242581511,37532993345,41224753977,46575433743,54161809687,57158920109,62523079757,66120533947,77844297523,76831816865,71085306304,66021057538,57286706115,54308583000,61345233936,69079769937,67992647699,69396785741,63032547032,62147762741,58232934198,61830541299,70293760715,79146807858,82511394661,81211188534,80926500190,83073225989,88972035744,91983567240,94504455313,96332003465,101286514977,105003397805,112895031237,120927152819,127075151562,132950350985,140786359715,151802594344,155294054014,158089346986,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16060664606,21649775889,27018920309,25857106736,24150537691,22266795751,13070609106,19148442340,19014403325,20193296331,20496195776,22443334374,23385954418,23583402031,25918884456
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97524453299,102198450879,108200659649,112701245355,117781524286,124070602723,130660880329,137432137279,133347535203,124020518837,123488033779,122623617543
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,527610625.2,529820907.8,631046044.5,693496549.1,775532728.4,828619596.8,863313707.2,877169787.6,884075711.2,906781215.7,943085694.6,983458254.5,1059341859,1150249579,1305639770,1484423847,1563667800,1647733181,1744438228,1854822422,1951273188,2066398306,2225510975,2392424299,,,,
Israel,12313161088,13692713599,15083361632,16696634703,18021878652,19660782112,19645123302,20233498694,23519814853,26710443176,28662263303,31879397099,36234390201,37445540316,40006912003,41334478728,41878380069,41875043567,43894054771,46652707737,49858351835,52424989128,53373271440,55247111456,55746409835,57668447133,60431592244,64775226074,66086368112,66660749912,71217325346,76700617160,81017170729,85519191328,91447232751,97416800093,102765023595,106229768318,110603683416,114315400244,124895151203,124616185508,123898976676,125772558157,131865380689,138380104308,146121402339,154153404721,160363153467,161705503246,169541631200,177521385057
Italy,293540646267,317632248963,337337043431,356260733937,366227848610,378196261570,400830529593,429604599956,457720307799,485632366780,511421885412,520720087534,539937188170,578412368692,610225865303,597471150545,640043271230,656431584296,677700885301,718086161610,742716634590,748986853623,752084555861,760877954788,785422754391,807399556378,830490956712,856999900993,892945710034,923202135233,942151611270,956601713821,963995710673,955774699781,976333639592,1004518797770,1015916918932,1034874048284,1049860733915,1065095186670,1104009462562,1124573045861,1129649776280,1129123604612,1148664954779,1159362094007,1184855583062,1204797445901,1190867198487,1125436104018,1145744066760,1150683143965
Jamaica,,,,,,,4923668568,5012719935,5300657195,5596151546,6271294160,6425447176,7582577384,7166634413,6863538715,6845961725,6387676268,6221753266,6218412165,6152494427,5800931098,5954043657,6077246612,6193266014,6097744435,5918249061,6029665319,6503015442,6761464914,7246485372,7550876535,7916205968,8071010741,8831066101,8953234169,9163631326,9153209417,9048820737,8837571172,8930160096,9008629729,9129789453,9218385750,9682307282,9817160112,9918240838,10235624545,10297038292,10121988641,9858816937,9799664035,9927059667
Japan,719165142029,805778057743,877564607312,951926293813,1063079949387,1124948096897,1244626392694,1382557660944,1560665211109,1755403369875,1737431737253,1819073516325,1972122126228,2130534807640,2104430646638,2169490717683,2255727628567,2354761694697,2478903353776,2614847450683,2688523162545,2800818579766,2895391252300,2984011593641,3117214857804,3314639199737,3408479175849,3548479971982,3802078966845,4006256406255,4229500970111,4370103995432,4405896452016,4413433298311,4451546748078,4538011073532,4656455641600,4730755379022,4635991355123,4626750094250,4731198760271,4748016360517,4761764168337,4842005214501,4956311889695,5020879159600,5105877836025,5217808186995,5163457616712,4878074528234,5094422657992,5058761701478
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,2024891600,2517134034,2680998094,3244118237,3539983901,4212997005,4411324539,4737101896,4831388756,5248851957,5430272880,5811160747,5979428781,5868683685,5079221679,5128680653,5222222628,6196942169,6483917244,6807206799,7228360644,7379252157,7623330035,7852971166,8119265586,8463892909,8909880504,9425387992,9819187755,10659607238,11525306728,12459768320,13478443882,14453260027,15245796641,15597525670,16001112166
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26348276737,23449966296,22207118082,20164063219,17623391253,16178273171,16259164536,16535570333,16221394497,16659372149,18291990619,20761409353,22796027469,24916058024,27307999594,29956875555,33162261239,36113702490,37305454672,37753120128,40509097897,43547280239
Kenya,2116484537,1949773813,2134170916,2321515701,2436766588,2485723523,2851834963,2947691754,3182996848,3436338712,3276361787,4002858709,4686644220,4962995955,5164772379,5210336166,5322564957,5825749488,6228454046,6702764900,7077581918,7344657600,7455303270,7552896935,7685466665,8015984910,8591336667,9101413556,9665990968,10119359658,10543568372,10695221450,10609713799,10647187018,10927504510,11408994019,11882106663,11938535016,12331338333,12615623601,12691278914,13170997390,13243024245,13631372692,14327158818,15173416248,16133989515,17262285409,17526052449,17989578441,18988282813,19842755539
Kiribati,,,,,,,,,,,59543629.28,58180025.67,65207737.75,78842589.11,114560473.7,120683065.7,88378336.66,84301742.39,85195015.3,75325178.94,41847584.9,40395127.89,43136551.65,47011744.87,46437159.51,44295200.06,44984702.5,43606882.34,51562223.98,47149171.47,48154992.03,46075822.32,47542408.77,48789248.93,51197762.36,50565832.04,53614894.72,56550586.77,62756555.23,63631538.13,68239320.7,66141846.03,70236686.92,73398500.29,74066588.16,74288814.53,75699705.57,76008011.33,75173029.04,74681961.2,76026236.5,77394708.76
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,28928298962,30356298714,31102566019,34067175844,36643076469,38544903391,43440106074,46089969105,51482408205,58741465078,63643234642,68889189755,71967189142,80627951049,86418752518,91558614219,101238554972,111356972145,121707854639,129963323122,128029123166,135919578695,145875767888,161593723429,174686535302,186569642627,206381181576,229298003709,253698105754,270808733195,295601777215,323368202011,342368324538,363368459962,394387463572,430548633258,460681097830,482107173876,449061334446,491660742720,533384027729,554577928769,594230347811,610885292932,639102209101,664392465835,698799258266,734478718311,751359801125,753760392874,801399964526,830523427930
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849196082,2347996682,2331538381,2457908804,2522112474,2619069795,2776213982,2951115463,3154742430,3246229961,3372832929,3541474575
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22530088649,30188171187,32734895321,34325251801,34532963147,35387075587,36682969800,36026708083,37718011469,37992985756,39132775329,45910572015,50593450361,55956356099,58866086616,61440300584,64493883523,61172448522,63258429016,68439294353
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,1618704665,1672121410,1892841940,1945647515,2056603836,1895138516,1631928246,1379643162,1102539641,1042739855,1116612785,1227326823,1253368676,1299189196,1369691955,1442581268,1442330936,1543731071,1652206887,1649306468,1700482777,1845752891,2000825963,2058575694,2030624399,2172768107
Lao,,,,,,,,,,,,,,,,,,,,,,,,,733070262.5,770236660.5,807863747.8,796345288,780337146.7,891071955.6,950814576.1,991666929.4,1046802200,1108694972,1199153601,1283469140,1372392037,1466704070,1524897140,1636311860,1731198022,1830766369,1939124836,2056771480,2187534747,2343015275,2544965999,2738302709,2952572233,3174067556,3444717298,3721626157
Latvia,,,,,,3530425110,3676879789,4107539685,4389852362,4590422960,4958641112,5342374516,5616740168,5941816425,6230941184,6659330225,7033602861,7258772134,7497186771,7725383528,8040771351,8381023297,8577998698,9025725371,9545052777,9509215112,9956941786,10189755820,10709082257,11317947634,10418900247,9106616653,6181701566,5873668623,6002296785,5945589448,6170981039,6682110470,6997691674,7326519373,7833068425,8463121187,9010898599,9659317395,10497533388,11610367683,13030690849,14330842539,13722705688,11258794724,11220120363,11833860947
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12416994225,7145841328,9041858848,12495913043,13058221252,13972031151,15090233489,16076372043,16902135516,16515619831,17108967140,17031450813,17260364842,17942756150,18548122592,19148597728,20580683499,20786490334,20911331543,22479859654,24564306468,26652272518,28517931595,29373469542
Lesotho,112602724,114702544.3,132288515.6,146331045.2,158404991.6,161817196.1,161160997.3,178746981.9,178090769.7,180846788.8,184783955.1,194233279.6,193839555,245022650.2,271926362,235179601,261164893.3,318122434.2,376392532.8,387285025.1,376654900.3,379271289.8,388968505.2,376551068.7,415713707.7,436478629.5,438908116.9,407546340.3,443525168,473693114.9,504361452.5,516223230.9,554232468.8,572489678.7,604961065.7,615714943.8,644484498.1,666637145.2,703230505,705877380.6,745832990.1,776897959.9,785207642.2,819332552.6,837801746.2,860460091.1,897523944.6,940007924.9,990722465.9,1019081740,1076239050,1138569692
Liberia,678395865,694948646.8,704292927.4,720311768.4,757421957.7,793731217.9,854869603.7,912537275.3,956055027,1025736764,1094083642,1147746603,1195269000,1168304020,1223835837,1181386013,1244126257,1263882810,1324754198,1368005016,1311939203,1283906361,1252669673,1228908410,1203011422,1192866148,1172842726,1161095594,1137387209,834063617.8,408433755.3,350333188.7,227416403.4,152424954,119253702.4,114166087.1,128004400.7,264047233.5,342469249.6,420894717.2,529064646.7,645965986.8,851981179.2,572257782.1,543016606.2,594501950.2,652639709.3,755026240.7,834546393.2,943558441.4,1040653199,1128929889
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32687175382,33896600871,32439047033,32017339422,36179593547,37771495663,41510873733,43960015284,46597616201,48368325616,49384060454,,
Liechtenstein,,,,,,,,,,,696743069.3,708373272.8,720197611.1,732219323.6,744441704.9,756868105.8,792885002,830615824.7,870142135.2,911549374.2,954927049.7,1000905019,984989567.7,990294717.8,1032735920,1105239641,1149449226,1255552232,1326287569,1385864182,1417085935,1442610029,1494663645,1559413977,1666485603,1764400812,1886238025,2022521257,2179494438,2406399937,2483890594,2465681399,2441174519,2393875186,2466629164,2585719909,2809254591,2902689338,2954882284,2920680062,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15866609805,14966074504,11784441130,9872196086,8908072279,9201155000,9678020500,10400885250,11194349750,11074208250,11434200000,12204375000,13042025000,14378400000,15435325000,16639625000,17944975000,19710725000,20287746250,17296985000,17527068250,18555907156
Luxembourg,4302303281,4469727302,4530456488,4686263804,5054877293,5017727301,5073218554,5084213782,5296930800,5825186184,5924720196,6082746483,6484097816,7023099916,7318945711,6837990640,7011288020,7121349575,7411542534,7585388324,7649172559,7607029404,7693087499,7923039792,8413233453,8648106211,9511527496,9887325850,10724118202,11774873894,12401289199,13473280265,13718447181,14294710857,14840900499,15053451912,15281888981,16189489178,17240171942,18691358146,20269578036,20779788756,21632774847,21967645545,22933852107,24179117583,25381346505,27066319405,27270323848,25825285723,26516904700,26928586464
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,2616534930,2878188423,3122834439,3144694280,3355388797,3835209395,4134355727,4341073514,4688359395,4861828692,5508451908,5794891408,6044071738,6243526106,6218552001,6199896345,5914701113,5772748287,6101794939,6278746992,6837767239,7698199299,9767827453,10602157500,12132224050,13876944294,14339082786,14586387569,18529951645,22373067976
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3932157068,3689516998,3447300381,3189802353,3133724417,3098797308,3135512239,3180668432,3288135722,3430814903,3586883989,3424565368,3453793697,3551069283,3715387792,3877087656,4072129927,4322519752,4536485007,4494737198,4574540278,4713514754
Madagascar,2087989940,2130711083,2179101018,2158848417,2244393192,2234242838,2280369952,2406441700,2570772457,2666436611,2807129955,2917432338,2880304466,2804884317,2861174962,2897188333,2808277725,2874665421,2798147405,3073895046,3098663596,2798130771,2747479171,2772264354,2819522558,2852112776,2907988681,2942247275,3042384219,3166479810,3265591559,3059547936,3095838835,3160744948,3158481594,3212561532,3281596749,3402802283,3536611917,3701386758,3877575177,4110920842,3589911444,3941180407,4148368403,4339312825,4557258852,4841663813,5186794028,4949331455,5026822443,5076555381
