GDP (constant 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahrain,,,,,,,,,,,,,,,,,,,,,3983298875,3771518972,3486534795,3708849409,3894427038,3709119796,3752998517,4143273092,4433301953,4449439409,4646905411,5168752875,5514542261,6224264259,6208703536,6452705104,6717911631,6925696587,7257437617,7569507493,7970690894,8337342675,8775886900,9407750757,9934584799,10709482414,11427017735,12380031014,13159972968,13567932130,14178489076,
Bangladesh,12767231590,13540691011,14279069088,14213971626,15770797883,16024117621,16435426595,16127120357,17657496028,17873068964,18877509042,17843119136,15349770078,15860254341,17381563007,16670967499,17614771185,18085623890,19364971579,20294806754,20461050013,21238978734,21743716016,22616962795,23788673522,24555449226,25598704785,26554115959,27127473044,27836138078,29489968538,30474743435,32010406325,33474682526,34842024065,36558011931,38247711533,40308326777,42415457211,44480763467,47124925462,49610300682,51800799317,54523446362,57942340648,61393084272,65463038830,69670899876,73983829245,78231358239,82979485251,88507817581
Barbados,784120376,844470434.1,920985861.5,874214321.5,917967662,1022935828,1063887746,1177044296,1258517199,1353137616,1481812925,1539792152,1559406034,1580312998,1506815149,1567165345,1565871989,1634412707,1734637071,1867622971,1955993039,1893271873,1798435850,1801668965,1862234629,1871718231,2048242625,2069149588,2198471437,2309257155,2198255970,2134241585,2027982064,2048027019,2129432330,2161163704,2200799782,2341534923,2437827351,2501031836,2558850048,2429524573,2343386639,2390441631,2478549703,2557427999,2644872132,2657506213,2662289725,2521188369,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14364231695,14191860914,12829442266,11854404654,10467439310,9378825621,9641432739,10740556071,11642762781,12038616716,12736856485,13338711930,14011685603,14998555617,16715851678,18293979126,20123008725,21863108809,24103693966,24143111980,26002131603,27380244578
Belgium,68236665814,71634993490,75368611864,78648340531,84119657630,87114872497,89864126386,93340202847,97255011947,103702824530,109689339514,114061367202,120101605987,127766132692,133598986388,130972508362,138376051430,139242499720,143199627555,146552035422,153064887077,152637401921,153545574534,154024395245,157823226219,160430138974,163354398789,167122428431,175015969845,181087565789,186769011525,190192626271,193103818853,191246405183,197417872113,202125809075,205004919349,212661589175,216763650417,224436421792,232672747374,234552028142,237741668285,239659286074,247490005974,251845091555,258690550017,266243709886,268825324878,261295933962,267143096398,272271056321
Belize,86532304,90765704,95206560,99925400,104921536,110094728,115347208,121014360,129929752,136564464,143130064,148797216,164001760,172778928,196207744,203257136,203188016,216388320,233528000,251082336,289162816,292894848,292065504,285914560,291512608,294622624,308099392,342655168,374308256,423308352,468300000,517457662.4,579737611.1,616125222.7,617098317.5,621072230.6,629945630.3,652278360.6,676679801.4,736094778.7,832072464.7,873319741.8,917848110.5,1003404009,1049766699,1081553523,1131878726,1147050000,1187100524,1187100524,1221526439,1245956968
Benin,621797131,641329522.6,619354945,648650606.9,691790796.4,728413252.2,754460310.4,762596400.4,791897913.4,814684760,831774871.3,819324517,871977321.9,904294242.8,934491450.6,888744866.1,896604537.4,941288292.6,953102195,1015394547,1084256208,1192185577,1218831715,1165839073,1258288241,1353041433,1382417879,1361681570,1408050167,1367862156,1411814142,1478487197,1537774239,1591893790,1661498639,1737998383,1834412163,1947193116,2035610257,2131227490,2254838685,2367580619,2474121747,2570612495,2650301482,2727160225,2838973721,2969566512,3121014404,3239612952,3336801340,3440241815
Bermuda,869734404,910437973.8,951134551.3,961311690.9,1068113420,1118955619,1279678335,1449556142,1480073114,1530934733,1627571809,1683519590,1714036561,1739467371,1754725856,1820845961,1983603142,2100584866,2131101837,2176877294,2349806799,2405754580,2278600532,2324375990,2335565546,2288772856,2441357713,2532908628,2635649098,2647347270,2647855887,2554270508,2552744659,2629545704,2645312806,2761684027,2833500959,2963842003,3079431841,3183598203,3480219000,3707139236,3650836316,3777695797,3875730341,3952316191,4174472363,4296865390,4336981750,4127676753,4049266697,
Bhutan,,,,,,,,,,,,,,,,,,,,,,115128647,124563583.7,133702372.5,143885322.5,150142926.5,162085319.8,194873231.6,224258402.5,238148537.9,259814622.2,272535249.1,278212050.4,287093618.7,297172075,315112476.5,334630530.8,352689439.7,372333012.9,397898220,427808817.3,457700055.2,498509593.5,541274885.4,584394624.3,635666173.1,679205223.4,800957405.1,838356460,894764298.2,961365501.9,1042216341
Bolivia,3001815692,3064252968,3234938744,3442644495,3607704142,3810638169,4058226603,4338604114,3810638169,3928616028,3909176407,4107111161,4434344635,4688838836,4826670434,5179549165,5418562956,5687931406,5804687265,5812427470,5732694165,5748494409,5522076279,5298867252,5288233917,5199582624,5065751743,5190545502,5341564705,5544016866,5801025729,6106538030,6207082181,6472080851,6774150097,7091063596,7400329012,7766956761,8157584561,8192408095,8397858206,8539261261,8751510220,8988793402,9363922319,9777941879,10246990606,10714702655,11373495913,11755304106,12240412986,12863340654
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342817884,1622124020,3065127656,4119212034,4761808953,5218942612,5505984456,5748247772,6052904904,6295021100,6679017387,7012968257,7447772288,7957050958,8388323119,8144222917,8209376700,8349796021
Botswana,124460933,132351054.3,141174460.7,149533468.5,159750039.4,169037837.2,179761624.1,190411714.9,210532629.3,242372325.1,283867117.2,357164757,451320315.4,547465906.1,595630843.2,645939309.4,714714904,800566746.1,915310388.5,1026507684,1149554148,1253759594,1406286115,1591166745,1727138046,1850201316,2001416865,2239223778,2674752123,3024058863,3228872988,3469705220,3570918962,3639341603,3771373857,3937459475,4156073604,4578731951,5062855231,5319318420,5632391130,5832008813,6357436299,6756370185,7160256353,7277848792,7651617602,8019553719,8255372642,7857039300,8408166868,8833027411
Brazil,105343379555,116168372089,122227783364,123296876305,127594490403,131490572734,136947905157,143679258550,160097893161,175684746848,191092206861,212676237580,238309683978,271622259839,296182671358,311611051518,342119051573,357878143242,369443725457,394441340692,430378734063,411470658991,413858199197,399746489304,420809704088,454246661387,490533225221,508190603692,507668830626,524317621032,501771963327,509359093915,506980820289,530632240834,558938074183,583625429866,596173376608,616293863303,616527313475,618073920864,644701831101,653149809199,670512665737,678217761979,716959543489,739613124999,768867489436,815703390474,857885609996,855069617297,919487274118,944612348874
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
